U,WallDistance,nut
0.056612,0.100330,0.000528
0.052628,0.100277,0.000495
0.050279,0.136442,0.000676
0.046852,0.136416,0.000614
0.038332,0.180999,0.000690
0.041578,0.181006,0.000801
0.031487,0.235964,0.000865
0.032624,0.235969,0.000724
0.057538,0.303732,0.000766
0.037189,0.303720,0.000879
0.075669,0.387243,0.000901
0.026495,0.303721,0.001026
0.052349,0.387240,0.001014
0.118853,0.490200,0.000943
0.095965,0.490194,0.001005
0.145449,0.562907,0.000982
0.127670,0.562920,0.001007
0.143601,0.549462,0.001030
0.157069,0.549431,0.001030
0.154132,0.493475,0.001073
0.163700,0.493445,0.001095
0.160648,0.442629,0.001135
0.166746,0.442599,0.001173
0.164275,0.396451,0.001203
0.167466,0.396421,0.001252
0.165896,0.354512,0.001252
0.166739,0.354482,0.001309
0.166283,0.316424,0.001233
0.165231,0.316392,0.001307
0.163470,0.281798,0.001190
0.166146,0.281832,0.001090
0.162100,0.250380,0.000931
0.166502,0.250417,0.000827
0.114169,0.009325,0.000071
0.113959,0.009083,0.000073
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.137358,0.020897,0.000206
0.137457,0.020518,0.000208
0.148465,0.035086,0.000357
0.148848,0.034861,0.000361
0.156609,0.054678,0.000512
0.157159,0.054529,0.000517
0.163485,0.081085,0.000671
0.164294,0.080978,0.000675
0.170304,0.116438,0.000830
0.171451,0.116357,0.000833
0.177407,0.163659,0.000980
0.178818,0.163592,0.000983
0.184963,0.226673,0.001097
0.186576,0.226610,0.001096
0.192323,0.294697,0.001139
0.193886,0.282455,0.001131
0.197418,0.298950,0.001133
0.198481,0.272253,0.001126
0.200536,0.221813,0.001137
0.200127,0.252676,0.001138
0.201641,0.187819,0.001141
0.201626,0.222680,0.001144
0.202654,0.165931,0.001110
0.202690,0.204453,0.001127
0.203484,0.152829,0.001045
0.203417,0.193919,0.001084
0.203704,0.145404,0.000963
0.203646,0.188097,0.001026
0.202911,0.141390,0.000876
0.203226,0.184996,0.000961
0.200822,0.139290,0.000792
0.202092,0.183383,0.000896
0.196194,0.138151,0.000702
0.199668,0.182510,0.000824
0.185333,0.137587,0.000601
0.193928,0.182072,0.000735
0.164486,0.137306,0.000512
0.182108,0.181842,0.000645
0.132790,0.137048,0.000449
0.162077,0.181624,0.000573
0.092331,0.136834,0.000402
0.133181,0.181435,0.000523
0.000000,0.000000,0.000000
0.114145,0.009677,0.000070
0.136808,0.021452,0.000203
0.147422,0.035424,0.000352
0.155338,0.054903,0.000507
0.161971,0.081244,0.000665
0.168434,0.116557,0.000824
0.175181,0.163755,0.000976
0.182425,0.226758,0.001098
0.189693,0.303077,0.001148
0.195121,0.327090,0.001145
0.198356,0.294909,0.001145
0.200221,0.269523,0.001149
0.201413,0.254606,0.001142
0.202177,0.246201,0.001118
0.202536,0.241631,0.001081
0.202483,0.239216,0.001038
0.202046,0.237962,0.000993
0.201007,0.237282,0.000940
0.198372,0.236936,0.000869
0.192474,0.236746,0.000787
0.181383,0.236562,0.000711
0.163362,0.236396,0.000651
0.137807,0.236255,0.000611
0.097222,0.181279,0.000487
0.105983,0.236142,0.000586
0.060149,0.181160,0.000463
0.071572,0.236057,0.000580
0.036647,0.181074,0.000482
0.044542,0.236000,0.000619
0.034290,0.181021,0.000568
0.000000,0.000000,0.000000
0.113330,0.010092,0.000068
0.135359,0.022107,0.000198
0.145273,0.035835,0.000346
0.152875,0.055177,0.000499
0.159296,0.081436,0.000656
0.165419,0.116699,0.000815
0.171734,0.163867,0.000969
0.178544,0.226856,0.001097
0.185554,0.304037,0.001158
0.191124,0.355139,0.001163
0.194739,0.351729,0.001160
0.196935,0.330644,0.001160
0.198322,0.318566,0.001157
0.199233,0.311878,0.001146
0.199787,0.308278,0.001126
0.200048,0.306384,0.001102
0.200073,0.305399,0.001074
0.199845,0.304864,0.001040
0.198955,0.304588,0.000990
0.196553,0.304430,0.000926
0.191407,0.304274,0.000855
0.181918,0.304132,0.000789
0.166578,0.304008,0.000739
0.144701,0.303904,0.000709
0.116931,0.303824,0.000697
0.086153,0.303766,0.000709
0.052341,0.136667,0.000365
0.033143,0.136546,0.000363
0.037021,0.136466,0.000426
0.042653,0.136424,0.000525
0.047173,0.013094,0.000056
0.000000,0.000000,0.000000
0.075706,0.013878,0.000140
0.000000,0.000000,0.000000
0.042711,0.012744,0.000035
0.000000,0.000000,0.000000
0.037917,0.012633,0.000038
0.000000,0.000000,0.000000
0.034348,0.012613,0.000043
0.000000,0.000000,0.000000
0.033075,0.012638,0.000046
0.000000,0.000000,0.000000
0.033752,0.012697,0.000048
0.000000,0.000000,0.000000
0.036144,0.012794,0.000051
0.000000,0.000000,0.000000
0.094544,0.029673,0.000193
0.031760,0.028863,0.000118
0.040238,0.028423,0.000082
0.043249,0.028236,0.000088
0.042895,0.028176,0.000111
0.043036,0.028192,0.000126
0.044444,0.028269,0.000135
0.047275,0.028409,0.000141
0.128027,0.048692,0.000270
0.062623,0.048101,0.000196
0.030626,0.047685,0.000145
0.040017,0.047442,0.000132
0.044190,0.047311,0.000163
0.046101,0.047257,0.000201
0.048300,0.047260,0.000225
0.051423,0.047314,0.000239
0.153269,0.072318,0.000364
0.103831,0.071872,0.000288
0.050647,0.071512,0.000232
0.030703,0.071260,0.000195
0.039585,0.071098,0.000206
0.044788,0.071004,0.000259
0.048219,0.070964,0.000311
0.051690,0.070970,0.000345
0.171978,0.101528,0.000476
0.138624,0.101179,0.000392
0.093569,0.100873,0.000335
0.048589,0.100636,0.000289
0.031593,0.100465,0.000267
0.038778,0.100351,0.000303
0.044542,0.100285,0.000380
0.048759,0.100261,0.000449
0.113578,0.008919,0.000074
0.000000,0.000000,0.000000
0.137281,0.020264,0.000210
0.148850,0.034712,0.000363
0.157303,0.054432,0.000520
0.164686,0.080909,0.000678
0.172126,0.116303,0.000836
0.179668,0.163547,0.000985
0.187547,0.226569,0.001094
0.194716,0.274614,0.001126
0.198705,0.254244,0.001122
0.200003,0.199618,0.001137
0.200649,0.162149,0.001137
0.201617,0.137089,0.001090
0.202651,0.121240,0.001005
0.203010,0.111799,0.000901
0.201911,0.106567,0.000791
0.198657,0.103793,0.000687
0.190758,0.102276,0.000582
0.000000,0.000000,0.000000
0.040016,0.012937,0.000054
0.051435,0.028624,0.000148
0.055529,0.047421,0.000251
0.055648,0.071020,0.000367
0.165926,0.396327,0.001367
0.164077,0.396297,0.001383
0.161826,0.354392,0.001409
0.159646,0.354366,0.001419
0.167516,0.396357,0.001339
0.164028,0.354420,0.001389
0.168289,0.396388,0.001300
0.165870,0.354449,0.001356
0.157848,0.316304,0.001413
0.155437,0.316280,0.001422
0.160472,0.316329,0.001393
0.163081,0.316358,0.001359
0.154120,0.281709,0.001342
0.151524,0.281687,0.001360
0.157070,0.281733,0.001310
0.160279,0.281763,0.001262
0.150791,0.250287,0.001147
0.148000,0.250266,0.001187
0.154071,0.250311,0.001093
0.157869,0.250342,0.001021
0.149812,0.354152,0.001391
0.144924,0.316097,0.001396
0.150591,0.354175,0.001396
0.145770,0.316117,0.001401
0.151287,0.354204,0.001400
0.146523,0.316142,0.001405
0.152131,0.354233,0.001405
0.147433,0.316167,0.001409
0.153189,0.354259,0.001410
0.148566,0.316190,0.001414
0.154456,0.354286,0.001415
0.149915,0.316212,0.001419
0.155937,0.354313,0.001420
0.151484,0.316235,0.001423
0.157665,0.354340,0.001421
0.153316,0.316257,0.001424
0.140054,0.316062,0.001370
0.134949,0.281499,0.001350
0.142180,0.316067,0.001382
0.137290,0.281501,0.001359
0.143759,0.316080,0.001390
0.139023,0.281512,0.001365
0.140300,0.281527,0.001368
0.141222,0.281544,0.001371
0.142044,0.281567,0.001373
0.143031,0.281589,0.001375
0.144250,0.281608,0.001377
0.145689,0.281627,0.001377
0.147349,0.281647,0.001376
0.149280,0.281666,0.001371
0.130062,0.250103,0.001277
0.132661,0.250102,0.001277
0.134578,0.250111,0.001276
0.135984,0.250123,0.001274
0.137000,0.250138,0.001272
0.137901,0.250158,0.001269
0.138975,0.250179,0.001265
0.140287,0.250195,0.001258
0.141823,0.250212,0.001249
0.143585,0.250229,0.001235
0.145624,0.250247,0.001215
0.187975,0.011189,0.000076
0.187797,0.011225,0.000076
0.187787,0.011223,0.000076
0.187719,0.011243,0.000075
0.187592,0.011265,0.000076
0.149299,0.018080,0.000114
0.149334,0.018096,0.000114
0.447580,0.011292,0.000190
0.547274,0.019109,0.000285
0.443960,0.011259,0.000189
0.550483,0.019114,0.000286
1.325865,0.008190,0.002453
1.325744,0.008215,0.002449
1.325523,0.008217,0.002445
1.260855,0.010293,0.001464
1.163413,0.017074,0.000844
1.260866,0.010267,0.001465
1.163823,0.017074,0.000845
1.366000,0.000000,0.006213
1.366000,0.000000,0.006213
1.356064,0.006731,0.001544
1.286922,0.015515,0.001469
1.336933,0.010778,0.001065
1.365890,0.000180,0.005990
1.356114,0.006714,0.001544
1.356054,0.006743,0.001540
1.337023,0.010766,0.001064
1.345420,0.004250,0.000617
1.331260,0.005567,0.000438
1.345540,0.004257,0.000619
1.331180,0.005551,0.000436
0.000000,0.000000,0.000000
