U:0,U:1,U:2,WallDistance,nut,U
-0.051392,0.008029,0.000240,0.100330,0.000439,0.052016
-0.046086,0.008593,-0.000138,0.100277,0.000417,0.046880
-0.045716,0.010552,0.000041,0.136442,0.000565,0.046918
-0.040741,0.011612,-0.000323,0.136416,0.000527,0.042365
-0.032161,0.015645,-0.000586,0.180999,0.000610,0.035769
-0.037303,0.013718,-0.000228,0.181006,0.000680,0.039746
-0.025444,0.018089,-0.000572,0.235964,0.000755,0.031224
-0.018415,0.022413,-0.000911,0.235969,0.000642,0.029022
0.004765,0.036167,-0.001102,0.303732,0.000638,0.036496
-0.006795,0.026369,-0.000940,0.303720,0.000763,0.027247
0.021693,0.041162,-0.000996,0.387243,0.000737,0.046539
-0.014498,0.019490,-0.000665,0.303721,0.000889,0.024300
0.010039,0.029486,-0.000944,0.387240,0.000864,0.031162
0.054402,0.056564,-0.000578,0.490200,0.000719,0.078482
0.042405,0.043165,-0.000752,0.490194,0.000806,0.060514
0.077355,0.064267,-0.000089,0.562907,0.000716,0.100568
0.067901,0.052230,-0.000295,0.562920,0.000769,0.085666
0.082489,0.055371,0.000094,0.549462,0.000761,0.099350
0.089478,0.065752,0.000256,0.549431,0.000731,0.111039
0.093514,0.055945,0.000449,0.493475,0.000773,0.108973
0.098065,0.064790,0.000559,0.493445,0.000764,0.117537
0.101707,0.054580,0.000798,0.442629,0.000801,0.115429
0.103918,0.062038,0.000858,0.442599,0.000810,0.121031
0.107574,0.051930,0.001148,0.396451,0.000837,0.119458
0.107741,0.058194,0.001172,0.396421,0.000859,0.122458
0.111679,0.048352,0.001508,0.354512,0.000853,0.121706
0.110142,0.053645,0.001511,0.354482,0.000889,0.122521
0.114612,0.044142,0.001881,0.316424,0.000806,0.122833
0.111655,0.048659,0.001875,0.316392,0.000861,0.121811
0.112820,0.043412,0.002264,0.281798,0.000732,0.120905
0.117113,0.039506,0.002277,0.281832,0.000663,0.123618
0.114740,0.037916,0.002703,0.250380,0.000539,0.120873
0.120901,0.034387,0.002724,0.250417,0.000503,0.125726
0.001610,0.074355,-0.000385,0.009325,0.000047,0.074374
0.001596,0.074491,-0.000456,0.009083,0.000047,0.074510
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003926,0.095379,-0.002384,0.020897,0.000143,0.095490
0.004071,0.095722,-0.002451,0.020518,0.000145,0.095839
0.008608,0.105280,-0.004083,0.035086,0.000252,0.105710
0.008849,0.105751,-0.004076,0.034861,0.000255,0.106199
0.015160,0.111880,-0.005087,0.054678,0.000362,0.113017
0.015533,0.112357,-0.005041,0.054529,0.000365,0.113538
0.024171,0.116215,-0.005563,0.081085,0.000474,0.118832
0.024756,0.116666,-0.005522,0.080978,0.000477,0.119391
0.036152,0.118631,-0.005427,0.116438,0.000585,0.124136
0.037024,0.119099,-0.005439,0.116357,0.000588,0.124839
0.050724,0.119053,-0.004966,0.163659,0.000690,0.129504
0.051870,0.119520,-0.005036,0.163592,0.000692,0.130387
0.066525,0.117584,-0.004409,0.226673,0.000771,0.135170
0.067748,0.118038,-0.004504,0.226610,0.000771,0.136173
0.079500,0.115914,-0.003579,0.294697,0.000799,0.140603
0.080348,0.116493,-0.003624,0.282455,0.000795,0.141561
0.085848,0.115922,-0.002560,0.298950,0.000793,0.144272
0.085694,0.116789,-0.002488,0.272253,0.000789,0.144877
0.085247,0.118806,-0.001406,0.221813,0.000795,0.146232
0.086754,0.117521,-0.001588,0.252676,0.000796,0.146082
0.082188,0.121644,-0.000490,0.187819,0.000798,0.146807
0.085046,0.119822,-0.000776,0.222680,0.000800,0.146938
0.078443,0.124642,0.000280,0.165931,0.000775,0.147272
0.082474,0.122237,-0.000122,0.204453,0.000787,0.147458
0.074851,0.127202,0.000908,0.152829,0.000728,0.147594
0.079831,0.124319,0.000405,0.193919,0.000755,0.147744
0.071678,0.128902,0.001375,0.145404,0.000666,0.147497
0.077405,0.125786,0.000806,0.188097,0.000710,0.147696
0.068943,0.129483,0.001680,0.141390,0.000598,0.146703
0.075266,0.126499,0.001089,0.184996,0.000660,0.147201
0.066593,0.128771,0.001842,0.139290,0.000533,0.144983
0.073416,0.126412,0.001270,0.183383,0.000610,0.146190
0.063930,0.125986,0.001887,0.138151,0.000465,0.141291
0.071362,0.125247,0.001390,0.182510,0.000554,0.144157
0.059410,0.118547,0.001734,0.137587,0.000391,0.132612
0.068114,0.121642,0.001418,0.182072,0.000488,0.139422
0.051097,0.104070,0.001248,0.137306,0.000329,0.115944
0.062510,0.113657,0.001237,0.181842,0.000422,0.129719
0.037547,0.082589,0.000407,0.137048,0.000293,0.090724
0.053326,0.100052,0.000767,0.181624,0.000375,0.113378
0.018193,0.056080,-0.000642,0.136834,0.000274,0.058961
0.039547,0.080928,0.000015,0.181435,0.000349,0.090073
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001652,0.074101,-0.000309,0.009677,0.000046,0.074120
0.003788,0.094704,-0.002296,0.021452,0.000141,0.094808
0.008344,0.104298,-0.004048,0.035424,0.000248,0.104709
0.014719,0.110842,-0.005079,0.054903,0.000357,0.111930
0.023464,0.115221,-0.005547,0.081244,0.000469,0.117717
0.035097,0.117656,-0.005377,0.116557,0.000580,0.122897
0.049308,0.118079,-0.004874,0.163755,0.000686,0.128054
0.064945,0.116591,-0.004290,0.226758,0.000771,0.133528
0.078251,0.114730,-0.003502,0.303077,0.000804,0.138919
0.085595,0.114334,-0.002606,0.327090,0.000800,0.142848
0.087855,0.115416,-0.001768,0.294909,0.000799,0.145060
0.087493,0.117141,-0.001063,0.269523,0.000802,0.146213
0.086091,0.118992,-0.000509,0.254606,0.000797,0.146871
0.084410,0.120639,-0.000077,0.246201,0.000778,0.147237
0.082764,0.121892,0.000256,0.241631,0.000750,0.147335
0.081268,0.122674,0.000504,0.239216,0.000716,0.147152
0.079960,0.122982,0.000681,0.237962,0.000681,0.146692
0.078520,0.122786,0.000831,0.237282,0.000640,0.145748
0.076328,0.121473,0.000957,0.236936,0.000585,0.143466
0.072722,0.117813,0.000981,0.236746,0.000524,0.138454
0.066865,0.110460,0.000817,0.236562,0.000469,0.129124
0.057752,0.098455,0.000412,0.236396,0.000432,0.114144
0.044517,0.081914,-0.000206,0.236255,0.000415,0.093229
0.020870,0.058037,-0.000836,0.181279,0.000338,0.061681
0.027252,0.062406,-0.000853,0.236142,0.000416,0.068102
0.000858,0.037036,-0.001342,0.181160,0.000353,0.037070
0.008528,0.043751,-0.001198,0.236057,0.000447,0.044591
-0.015228,0.023669,-0.001276,0.181074,0.000414,0.028173
-0.007435,0.030114,-0.001172,0.236000,0.000526,0.031040
-0.025585,0.017862,-0.000949,0.181021,0.000514,0.031218
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001735,0.073327,-0.000070,0.010092,0.000045,0.073348
0.003712,0.093419,-0.002055,0.022107,0.000138,0.093515
0.008100,0.102512,-0.003855,0.035835,0.000244,0.102904
0.014228,0.108914,-0.004916,0.055177,0.000351,0.109949
0.022622,0.113334,-0.005384,0.081436,0.000462,0.115695
0.033808,0.115833,-0.005224,0.116699,0.000573,0.120779
0.047545,0.116287,-0.004723,0.163867,0.000681,0.125720
0.062881,0.114769,-0.004126,0.226856,0.000769,0.130931
0.076423,0.112658,-0.003373,0.304037,0.000810,0.136175
0.084702,0.111757,-0.002595,0.355139,0.000811,0.140253
0.088268,0.112230,-0.001916,0.351729,0.000807,0.142795
0.089222,0.113340,-0.001334,0.330644,0.000807,0.144251
0.088980,0.114635,-0.000859,0.318566,0.000805,0.145118
0.088275,0.115855,-0.000498,0.311878,0.000797,0.145654
0.087434,0.116856,-0.000228,0.308278,0.000782,0.145945
0.086601,0.117588,-0.000024,0.306384,0.000762,0.146037
0.085845,0.118056,0.000133,0.305399,0.000740,0.145968
0.084996,0.118330,0.000281,0.304864,0.000713,0.145693
0.083702,0.118205,0.000439,0.304588,0.000674,0.144840
0.081610,0.117038,0.000568,0.304430,0.000624,0.142683
0.078227,0.113892,0.000606,0.304274,0.000571,0.138171
0.072813,0.107670,0.000491,0.304132,0.000526,0.129980
0.064480,0.097571,0.000186,0.304008,0.000497,0.116952
0.052557,0.083648,-0.000271,0.303904,0.000489,0.098789
0.037265,0.067109,-0.000751,0.303824,0.000502,0.076765
0.020193,0.050168,-0.001068,0.303766,0.000547,0.054090
-0.003104,0.031603,-0.001398,0.136667,0.000273,0.031786
-0.019405,0.017379,-0.001464,0.136546,0.000312,0.026090
-0.029171,0.012831,-0.001116,0.136466,0.000391,0.031887
-0.035481,0.012077,-0.000714,0.136424,0.000471,0.037487
-0.031964,0.002625,-0.001092,0.013094,0.000035,0.032091
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.010331,0.052031,0.000299,0.013878,0.000068,0.053048
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.028424,-0.004732,-0.001905,0.012744,0.000030,0.028878
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.024875,-0.002765,-0.002000,0.012633,0.000033,0.025108
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.022309,-0.001349,-0.001697,0.012613,0.000037,0.022414
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.021703,-0.000268,-0.001326,0.012638,0.000039,0.021745
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.023035,0.000434,-0.000932,0.012697,0.000041,0.023058
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.026149,0.000826,-0.000551,0.012794,0.000042,0.026168
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012669,0.065834,0.000853,0.029673,0.000108,0.067047
-0.013108,0.016807,-0.001025,0.028863,0.000078,0.021338
-0.028037,-0.002670,-0.002147,0.028423,0.000070,0.028245
-0.029689,-0.003491,-0.002219,0.028236,0.000082,0.029975
-0.029953,-0.001672,-0.001863,0.028176,0.000099,0.030058
-0.030947,0.000072,-0.001429,0.028192,0.000110,0.030980
-0.033343,0.001302,-0.000980,0.028269,0.000116,0.033383
-0.037219,0.002034,-0.000532,0.028409,0.000120,0.037278
