U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,0,0,0,-1,0,0,2.22045e-16,0.639972,1.2192,1.6256,0,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.623672,1.2192,1.6256,1,0,1
-0.0232513,0.000147066,-0.00529039,0,-1,0,3.45507e-05,0.0132397,0.637891,1.23069,1.6256,2,0,1
-0.0144985,0.0276562,0.0240251,0,-1,0,5.69374e-05,0.0140079,0.621102,1.23177,1.6256,3,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.659887,1.2192,1.6256,4,0,1
-0.0207689,-0.00216704,-0.00964146,0,-1,0,3.52356e-05,0.0128973,0.65753,1.23034,1.6256,5,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.683391,1.2192,1.6256,6,0,1
-0.0193858,-0.0016429,-0.00928076,0,-1,0,4.09538e-05,0.01279,0.68063,1.23023,1.6256,7,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.711147,1.2192,1.6256,8,0,1
-0.0169563,-0.00158704,-0.00784556,0,-1,0,4.53124e-05,0.0127717,0.707914,1.23019,1.6256,9,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.744053,1.2192,1.6256,10,0,1
-0.015121,-0.00133379,-0.00587628,0,-1,0,4.72359e-05,0.012797,0.740247,1.23017,1.6256,11,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.783141,1.2192,1.6256,12,0,1
-0.0144146,-0.00092669,-0.00383941,0,-1,0,4.77441e-05,0.0128564,0.778641,1.23016,1.6256,13,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.82961,1.2192,1.6256,14,0,1
-0.0152433,-0.000456756,-0.00209028,0,-1,0,4.80251e-05,0.0129521,0.824273,1.23015,1.6256,15,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.884866,1.2192,1.6256,16,0,1
-0.0176858,-6.31655e-06,-0.000646002,0,-1,0,4.88739e-05,0.0130929,0.878528,1.23015,1.6256,17,0,1
-0.0166971,0.00468921,-0.00242596,0,-1,0,7.58787e-05,0.0291815,0.637818,1.24658,1.6256,18,0,1
-0.00681799,0.0312349,0.0277542,0,-1,0,8.52369e-05,0.0299752,0.621168,1.24743,1.6256,19,0,1
-0.0211483,-0.00111466,-0.011012,0,-1,0,8.50201e-05,0.0287497,0.657406,1.24613,1.6256,20,0,1
-0.0214103,-0.00205804,-0.0123042,0,-1,0,0.000105291,0.0285679,0.680503,1.24591,1.6256,21,0,1
-0.0201518,-0.00239406,-0.0106071,0,-1,0,0.000123532,0.0285118,0.707811,1.2458,1.6256,22,0,1
