U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,0,0,0,2.22045e-16,0.639972,1.2192,1.6256,0,0,1
0,0,0,0,2.22045e-16,0.623672,1.2192,1.6256,1,0,1
-0.0430019,0.00383792,-0.0244811,0.000112373,0.0256691,0.637891,1.24219,1.6256,2,0,1
-0.0260629,0.0463908,0.0295833,0.000176777,0.0272385,0.621102,1.24434,1.6256,3,0,1
0,0,0,0,2.22045e-16,0.659887,1.2192,1.6256,4,0,1
-0.0410596,-0.00245552,-0.0353861,0.000101928,0.0249487,0.65753,1.24148,1.6256,5,0,1
0,0,0,0,2.22045e-16,0.683391,1.2192,1.6256,6,0,1
-0.0387119,-0.00284111,-0.03448,0.000108942,0.024687,0.68063,1.24126,1.6256,7,0,1
0,0,0,0,2.22045e-16,0.711147,1.2192,1.6256,8,0,1
-0.0338812,-0.00325212,-0.0292759,0.000114549,0.0245928,0.707914,1.24117,1.6256,9,0,1
0,0,0,0,2.22045e-16,0.744053,1.2192,1.6256,10,0,1
-0.0299447,-0.00308182,-0.0217147,0.000113348,0.0245665,0.740247,1.24113,1.6256,11,0,1
0,0,0,0,2.22045e-16,0.783141,1.2192,1.6256,12,0,1
-0.0277967,-0.00255852,-0.0135944,0.000107113,0.0245777,0.778641,1.24112,1.6256,13,0,1
0,0,0,0,2.22045e-16,0.82961,1.2192,1.6256,14,0,1
-0.027971,-0.00185278,-0.00635871,9.91268e-05,0.0246179,0.824273,1.24111,1.6256,15,0,1
0,0,0,0,2.22045e-16,0.884866,1.2192,1.6256,16,0,1
-0.030177,-0.00117275,-0.00070442,9.16124e-05,0.0246876,0.878528,1.2411,1.6256,17,0,1
-0.0274438,0.0119958,-0.0189421,0.000188077,0.0571087,0.637818,1.27396,1.6256,18,0,1
-0.00908883,0.0532403,0.0375223,0.000200695,0.058745,0.621168,1.27566,1.6256,19,0,1
-0.0359597,-0.000108055,-0.0381732,0.000200254,0.0561913,0.657406,1.27306,1.6256,20,0,1
-0.0365294,-0.0035257,-0.0417658,0.00023064,0.0557539,0.680503,1.27261,1.6256,21,0,1
-0.0337387,-0.0050624,-0.0372064,0.000260504,0.0555522,0.707811,1.2724,1.6256,22,0,1
-0.0313981,-0.00516827,-0.0283663,0.00027606,0.0554703,0.740174,1.27228,1.6256,23,0,1
-0.030714,-0.00439661,-0.0185229,0.000277239,0.0554604,0.778592,1.27222,1.6256,24,0,1
