U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,0,0,0,-1,0,1.61499e-06,2.22045e-16,0.639972,1.2192,1.6256,0,0,1
0,0,0,0,-1,0,7.46345e-06,2.22045e-16,0.623672,1.2192,1.6256,1,0,1
-0.116972,0.0138929,-0.126697,0,-1,0,0.000199949,0.0132397,0.637891,1.23069,1.6256,2,0,1
-0.0581373,0.13763,0.0676614,0,-1,0,0.000185023,0.0140079,0.621102,1.23177,1.6256,3,0,1
0,0,0,0,-1,0,7.22394e-07,2.22045e-16,0.659887,1.2192,1.6256,4,0,1
-0.11691,-0.00494734,-0.159009,0,-1,0,0.000225667,0.0128973,0.65753,1.23034,1.6256,5,0,1
0,0,0,0,-1,0,6.30585e-07,2.22045e-16,0.683391,1.2192,1.6256,6,0,1
-0.10698,-0.0105085,-0.16188,0,-1,0,0.000263517,0.01279,0.68063,1.23023,1.6256,7,0,1
0,0,0,0,-1,0,4.70223e-07,2.22045e-16,0.711147,1.2192,1.6256,8,0,1
-0.0833859,-0.0143332,-0.143134,0,-1,0,0.000300126,0.0127717,0.707914,1.23019,1.6256,9,0,1
0,0,0,0,-1,0,1.5634e-07,2.22045e-16,0.744053,1.2192,1.6256,10,0,1
-0.0623385,-0.0143676,-0.107695,0,-1,0,0.000294175,0.012797,0.740247,1.23017,1.6256,11,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.783141,1.2192,1.6256,12,0,1
-0.0490524,-0.0120097,-0.067976,0,-1,0,0.000261915,0.0128564,0.778641,1.23016,1.6256,13,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.82961,1.2192,1.6256,14,0,1
-0.0466419,-0.00829509,-0.0318603,0,-1,0,0.000293386,0.0129521,0.824273,1.23015,1.6256,15,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.884866,1.2192,1.6256,16,0,1
-0.0542602,-0.00504513,-0.0021557,0,-1,0,0.000337112,0.0130929,0.878528,1.23015,1.6256,17,0,1
-0.0658988,0.0451657,-0.0893042,0,-1,0,0.000403528,0.0291815,0.637818,1.24658,1.6256,18,0,1
-0.00562088,0.168084,0.106654,0,-1,0,0.000317071,0.0299752,0.621168,1.24743,1.6256,19,0,1
-0.0920594,0.00124805,-0.155669,0,-1,0,0.00049058,0.0287497,0.657406,1.24613,1.6256,20,0,1
-0.0879771,-0.0150076,-0.176975,0,-1,0,0.000578661,0.0285679,0.680503,1.24591,1.6256,21,0,1
-0.0708454,-0.0228977,-0.166311,0,-1,0,0.000676776,0.0285118,0.707811,1.2458,1.6256,22,0,1
-0.0548122,-0.0236262,-0.131365,0,-1,0,0.000737115,0.0285303,0.740174,1.24574,1.6256,23,0,1
-0.0461242,-0.0205781,-0.0880722,0,-1,0,0.000740478,0.0286086,0.778592,1.24571,1.6256,24,0,1
-0.0465326,-0.0156276,-0.0476024,0,-1,0,0.000751869,0.0287484,0.824242,1.24569,1.6256,25,0,1
-0.0546758,-0.0103823,-0.0142348,0,-1,0,0.000778719,0.0289619,0.878509,1.24568,1.6256,26,0,1
-0.0203497,0.0948763,-0.0114136,0,-1,0,0.000577125,0.0483257,0.637822,1.26591,1.6256,27,0,1
0.0372957,0.23229,0.1817,0,-1,0,0.000473576,0.0489069,0.621321,1.26653,1.6256,28,0,1
