U:0,U:1,U:2,WallDistance,nut,U
-0.055039,0.007638,-0.000792,0.200029,0.000783,0.055572
-0.054443,0.009708,-0.001245,0.200046,0.000714,0.055316
-0.046761,0.011659,-0.001231,0.272420,0.000952,0.048208
-0.045643,0.014939,-0.001597,0.272459,0.000828,0.048052
-0.027869,0.025015,-0.001894,0.361717,0.000891,0.037497
-0.033001,0.018176,-0.001744,0.361664,0.001062,0.037716
-0.006670,0.032119,-0.002038,0.471661,0.001109,0.032867
0.009293,0.048420,-0.001834,0.471723,0.000942,0.049338
0.064816,0.083794,-0.001466,0.607296,0.001039,0.105947
0.039207,0.058398,-0.001910,0.607232,0.001152,0.070365
0.097136,0.090887,-0.001554,0.774323,0.001233,0.133035
0.021413,0.039476,-0.002111,0.607195,0.001327,0.044960
0.074135,0.066637,-0.001920,0.774285,0.001347,0.099700
0.149317,0.115504,-0.001180,0.906306,0.001334,0.188781
0.130136,0.092716,-0.001443,0.944952,0.001385,0.159793
0.180531,0.125214,-0.000824,0.946129,0.001439,0.219706
0.167534,0.106573,-0.000943,1.023450,0.001435,0.198561
0.186207,0.110431,-0.000492,1.017130,0.001507,0.216491
0.194793,0.125704,-0.000435,0.946133,0.001546,0.231832
0.198844,0.110305,-0.000006,0.972120,0.001604,0.227390
0.203625,0.122911,0.000025,0.934081,0.001668,0.237845
0.207150,0.107375,0.000560,0.885090,0.001718,0.233326
0.208723,0.117863,0.000581,0.879382,0.001798,0.239703
0.212396,0.102688,0.001194,0.792715,0.001836,0.235920
0.211457,0.111493,0.001217,0.792687,0.001922,0.239053
0.215616,0.096778,0.001871,0.708817,0.001926,0.236347
0.212783,0.104329,0.001900,0.708791,0.002016,0.236991
0.217634,0.090040,0.002559,0.632615,0.001935,0.235538
0.213375,0.096671,0.002578,0.632590,0.002039,0.234267
0.213694,0.088686,0.003226,0.563379,0.001928,0.231389
0.219104,0.082742,0.003222,0.563403,0.001790,0.234229
0.214179,0.080475,0.003842,0.500515,0.001619,0.228831
0.220750,0.075050,0.003860,0.500539,0.001440,0.233191
0.005407,0.185952,0.002654,0.011160,0.000121,0.186050
0.005505,0.185032,0.002308,0.010371,0.000124,0.185128
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011977,0.208508,0.001030,0.023843,0.000313,0.208854
0.012405,0.208019,0.000701,0.022554,0.000318,0.208390
0.023252,0.218653,-0.000924,0.036899,0.000534,0.219888
0.023965,0.218625,-0.001149,0.036074,0.000540,0.219938
0.037971,0.225178,-0.002413,0.055844,0.000766,0.228370
0.039010,0.225464,-0.002631,0.055300,0.000773,0.228829
0.057537,0.229135,-0.003676,0.081866,0.001006,0.236277
0.059145,0.229797,-0.003950,0.081491,0.001013,0.237319
0.082339,0.230555,-0.004729,0.116976,0.001248,0.244863
0.084508,0.231557,-0.005074,0.116708,0.001255,0.246548
0.111218,0.228516,-0.005610,0.164036,0.001480,0.254206
