U,WallDistance,nut
0.743927,0.137410,0.002947
0.922749,0.137682,0.003151
0.795234,0.181950,0.004078
0.888899,0.182170,0.004448
0.511387,0.137161,0.003059
0.650265,0.181741,0.003983
0.288671,0.136956,0.003355
0.479161,0.181561,0.004126
0.232507,0.136797,0.003664
0.340969,0.181414,0.004409
0.311885,0.136683,0.003912
0.303630,0.181302,0.004714
0.336739,0.136609,0.004173
0.320426,0.181223,0.004989
0.298674,0.136571,0.004487
0.310711,0.181175,0.005270
0.239611,0.136567,0.004804
0.268253,0.181156,0.005570
0.190676,0.136595,0.005118
0.217089,0.181167,0.005889
0.160316,0.136635,0.005478
0.173000,0.181189,0.006274
0.141910,0.136571,0.005920
0.136624,0.181137,0.006789
0.496609,0.236390,0.005302
0.607357,0.236522,0.005171
0.412034,0.236284,0.005557
0.369815,0.236205,0.005863
0.343416,0.236153,0.006174
0.305414,0.236126,0.006488
0.254735,0.236125,0.006822
0.202252,0.236136,0.007210
0.153288,0.236092,0.007729
0.535982,0.304040,0.006587
0.600009,0.304136,0.006490
0.479839,0.303966,0.006802
0.433799,0.303913,0.007091
0.388092,0.303883,0.007421
0.335524,0.303874,0.007782
0.278379,0.303877,0.008188
1.419807,0.009116,0.000676
0.000000,0.000000,0.000019
1.383557,0.009356,0.000661
0.000000,0.000000,0.000018
1.462975,0.020614,0.002098
1.429919,0.020990,0.002050
1.437072,0.034914,0.004193
1.407170,0.035138,0.004101
1.378953,0.054561,0.006590
1.351119,0.054711,0.006465
1.294847,0.080998,0.008928
1.268525,0.081105,0.008801
1.180848,0.116368,0.010768
1.155909,0.116450,0.010687
1.028677,0.163597,0.011676
1.005759,0.163665,0.011692
0.827639,0.226609,0.011514
0.808763,0.226674,0.011639
0.597326,0.282467,0.010887
0.584672,0.294709,0.011034
0.478830,0.272286,0.010622
0.461687,0.298980,0.010710
0.557672,0.221626,0.010408
0.518999,0.252714,0.010519
0.696180,0.187639,0.009680
0.636764,0.222723,0.009926
0.822204,0.165985,0.008604
0.745001,0.204503,0.009029
0.921772,0.152890,0.007403
0.829287,0.193974,0.008034
0.992288,0.145470,0.006218
0.887653,0.188160,0.007076
1.033011,0.141462,0.005167
0.921720,0.185066,0.006242
1.043054,0.139369,0.004344
0.934656,0.183461,0.005580
1.016841,0.138238,0.003672
0.928814,0.182598,0.004999
1.338495,0.009705,0.000642
0.000000,0.000000,0.000018
1.388235,0.021542,0.001993
1.368475,0.035476,0.003993
1.314982,0.054935,0.006316
1.234495,0.081264,0.008648
1.123943,0.116570,0.010586
0.976609,0.163762,0.011708
0.784537,0.226760,0.011795
0.567840,0.303082,0.011228
0.439852,0.327111,0.010833
0.472148,0.294941,0.010657
0.566073,0.269562,0.010222
0.655513,0.254651,0.009534
0.725438,0.246252,0.008767
0.774296,0.241689,0.008038
0.804675,0.239283,0.007410
0.820543,0.238037,0.006905
0.826648,0.237367,0.006441
0.818002,0.237032,0.005943
0.781291,0.236852,0.005501
0.709438,0.236678,0.005231
1.282809,0.010114,0.000622
0.000000,0.000000,0.000017
1.335046,0.022189,0.001928
1.317999,0.035883,0.003867
1.267546,0.055207,0.006139
1.189939,0.081456,0.008461
1.082407,0.116712,0.010459
0.939008,0.163874,0.011719
0.753029,0.226859,0.011981
0.545549,0.304037,0.011489
0.413761,0.355151,0.011029
0.419443,0.351757,0.010856
0.487407,0.330678,0.010584
0.557791,0.318606,0.010122
0.614666,0.311924,0.009589
0.656066,0.308332,0.009078
0.684161,0.306446,0.008637
0.702126,0.305470,0.008277
0.715081,0.304945,0.007936
0.723758,0.304679,0.007538
0.721314,0.304531,0.007121
0.700677,0.304386,0.006771
0.658824,0.304253,0.006550
0.000000,0.000000,0.000006
0.000000,0.000000,0.000006
0.206025,0.013188,0.000533
0.188275,0.013345,0.000554
0.196736,0.029063,0.001575
0.178194,0.029335,0.001615
0.000000,0.000000,0.000026
0.000000,0.000000,0.000021
1.641799,0.006829,0.000263
0.000000,0.000000,0.000016
0.000000,0.000000,0.000028
1.727227,0.010817,0.000480
0.000000,0.000000,0.000030
1.761862,0.012404,0.000682
0.000000,0.000000,0.000030
1.768180,0.012580,0.000715
0.000000,0.000000,0.000029
1.741039,0.012777,0.000627
0.000000,0.000000,0.000027
1.647172,0.013070,0.000508
0.000000,0.000000,0.000024
1.451474,0.013390,0.000397
0.000000,0.000000,0.000019
1.117473,0.013151,0.000309
0.000000,0.000000,0.000011
0.631926,0.012774,0.000272
0.000000,0.000000,0.000006
0.252715,0.013161,0.000257
0.000000,0.000000,0.000007
0.450159,0.013405,0.000227
0.000000,0.000000,0.000011
0.721574,0.013089,0.000210
0.000000,0.000000,0.000015
0.982268,0.012800,0.000225
0.000000,0.000000,0.000018
1.211413,0.012609,0.000257
0.000000,0.000000,0.000021
1.380171,0.012445,0.000284
0.000000,0.000000,0.000021
1.504772,0.010950,0.000237
0.000000,0.000000,0.000022
1.542084,0.006652,0.000176
0.000000,0.000000,0.000020
0.000000,0.000000,0.000014
1.708659,0.008569,0.000413
0.000000,0.000000,0.000018
1.792595,0.018177,0.001018
1.816226,0.025351,0.001566
1.807244,0.028151,0.001699
1.763101,0.028452,0.001522
1.657754,0.028905,0.001243
1.462188,0.029388,0.000950
1.141514,0.028956,0.000724
0.672567,0.028323,0.000680
0.270127,0.028980,0.000713
0.433645,0.029424,0.000641
0.691732,0.028948,0.000557
0.927000,0.028503,0.000540
1.133361,0.028212,0.000557
1.302641,0.025531,0.000550
1.464166,0.018480,0.000374
1.548592,0.008769,0.000185
0.000000,0.000000,0.000013
1.739844,0.008719,0.000593
0.000000,0.000000,0.000020
1.818060,0.020006,0.001551
1.831535,0.032916,0.002416
1.811822,0.043450,0.002732
1.758122,0.047273,0.002591
1.647609,0.047535,0.002207
1.453489,0.047816,0.001734
1.142455,0.047561,0.001341
0.687990,0.047192,0.001257
0.273708,0.047590,0.001340
0.430476,0.047861,0.001266
0.685590,0.047587,0.001141
0.907625,0.047333,0.001084
1.096914,0.043641,0.001026
1.256449,0.033284,0.000888
1.413794,0.020306,0.000546
1.508298,0.008833,0.000230
0.000000,0.000000,0.000013
1.744866,0.008840,0.000718
0.000000,0.000000,0.000023
1.820455,0.020186,0.001941
1.830547,0.034662,0.003111
1.805612,0.052419,0.003688
1.747150,0.066353,0.003667
1.635090,0.071041,0.003221
1.443450,0.071216,0.002577
1.138868,0.071042,0.002015
0.691071,0.070801,0.001874
0.273839,0.071074,0.001998
0.438407,0.071264,0.001939
0.693231,0.071097,0.001778
0.908956,0.066550,0.001659
1.091550,0.052830,0.001482
1.247874,0.035048,0.001173
1.398081,0.020388,0.000671
1.485483,0.008913,0.000261
0.000000,0.000000,0.000014
1.745958,0.008964,0.000795
0.000000,0.000000,0.000024
1.819478,0.020383,0.002216
1.825691,0.034789,0.003679
1.796407,0.054508,0.004552
1.734356,0.077979,0.004707
1.621548,0.095208,0.004254
1.432181,0.100343,0.003462
1.131655,0.100211,0.002729
