U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.00262796,0.017874,-0.0179736,0,-1,0,0.000106099,0.13741,0.638003,1.35441,0.8128,0,0,1
-0.000158235,0.0264766,-0.0222178,0,-1,0,9.7726e-05,0.137682,0.621724,1.35469,0.8128,1,0,1
-0.000466354,0.0254751,-0.0201451,0,-1,0,0.00013086,0.18195,0.638077,1.3985,0.8128,2,0,1
0.00153951,0.0329021,-0.0236788,0,-1,0,0.000125095,0.18217,0.621832,1.39873,0.8128,3,0,1
-0.00539412,0.0117518,-0.014377,0,-1,0,0.00012234,0.137161,0.657348,1.35415,0.8128,4,0,1
-0.00307845,0.018768,-0.016512,0,-1,0,0.00014425,0.181741,0.65739,1.39828,0.8128,5,0,1
-0.00792699,0.00858501,-0.0115548,0,-1,0,0.000146406,0.136956,0.680317,1.35393,0.8128,6,0,1
-0.00580898,0.0141022,-0.0132374,0,-1,0,0.00016557,0.181561,0.680332,1.39809,0.8128,7,0,1
-0.010149,0.00749064,-0.00934966,0,-1,0,0.000174803,0.136797,0.707583,1.35375,0.8128,8,0,1
-0.00831665,0.0116197,-0.0105044,0,-1,0,0.000194604,0.181414,0.707579,1.39793,0.8128,9,0,1
-0.0122314,0.00742605,-0.00758578,0,-1,0,0.000199328,0.136683,0.739957,1.35362,0.8128,10,0,1
-0.0105531,0.0106413,-0.00829712,0,-1,0,0.000226074,0.181302,0.739942,1.3978,0.8128,11,0,1
-0.014409,0.00768434,-0.00615315,0,-1,0,0.000214831,0.136609,0.77841,1.35353,0.8128,12,0,1
-0.0126752,0.0103611,-0.00652726,0,-1,0,0.000252096,0.181223,0.778391,1.3977,0.8128,13,0,1
-0.0168491,0.00789767,-0.00500769,0,-1,0,0.000223656,0.136571,0.8241,1.35346,0.8128,14,0,1
-0.014863,0.0102199,-0.00511732,0,-1,0,0.000269957,0.181175,0.824081,1.39763,0.8128,15,0,1
-0.0196181,0.00789084,-0.0041258,0,-1,0,0.000231326,0.136567,0.878405,1.35341,0.8128,16,0,1
-0.0172219,0.00991357,-0.00400932,0,-1,0,0.000283536,0.181156,0.878388,1.39758,0.8128,17,0,1
-0.0226787,0.00757177,-0.00346583,0,-1,0,0.000241885,0.136595,0.942961,1.35338,0.8128,18,0,1
-0.0197517,0.00928776,-0.00313406,0,-1,0,0.000298074,0.181167,0.942949,1.39755,0.8128,19,0,1
-0.0259004,0.00690309,-0.00295463,0,-1,0,0.000257222,0.136635,1.01972,1.35336,0.8128,20,0,1
-0.0223471,0.00829145,-0.00238951,0,-1,0,0.000316423,0.181189,1.01971,1.39752,0.8128,21,0,1
-0.0290659,0.00592818,-0.00249141,0,-1,0,0.000277777,0.136571,1.11098,1.35335,0.8128,22,0,1
-0.0248086,0.00697874,-0.00163747,0,-1,0,0.000338601,0.181137,1.11098,1.39751,0.8128,23,0,1
-0.0044811,0.0173886,-0.0124683,0,-1,0,0.000211587,0.23639,0.70759,1.45234,0.8128,24,0,1
-0.00184705,0.0215253,-0.0156469,0,-1,0,0.000185908,0.236522,0.68036,1.45248,0.8128,25,0,1
-0.00692839,0.0148687,-0.00966055,0,-1,0,0.000244483,0.236284,0.739942,1.45222,0.8128,26,0,1
-0.00912008,0.0135289,-0.00733832,0,-1,0,0.000278924,0.236205,0.778384,1.45213,0.8128,27,0,1
-0.0111407,0.0127186,-0.00548854,0,-1,0,0.000308363,0.236153,0.824071,1.45206,0.8128,28,0,1
-0.0131224,0.0119423,-0.0040375,0,-1,0,0.000331366,0.236126,0.878378,1.452,0.8128,29,0,1
-0.0151413,0.0109099,-0.00288125,0,-1,0,0.000351538,0.236125,0.94294,1.45197,0.8128,30,0,1
-0.0171444,0.00952091,-0.00188434,0,-1,0,0.000372458,0.236136,1.0197,1.45194,0.8128,31,0,1
-0.0189605,0.00782246,-0.00086138,0,-1,0,0.000394093,0.236092,1.11097,1.45193,0.8128,32,0,1
-0.000867123,0.0208159,-0.0121368,0,-1,0,0.000255742,0.30404,0.739953,1.51926,0.8128,33,0,1
0.00156288,0.0248617,-0.0152231,0,-1,0,0.000227182,0.304136,0.707613,1.51937,0.8128,34,0,1
-0.00321026,0.0177942,-0.00919535,0,-1,0,0.000291374,0.303966,0.778387,1.51918,0.8128,35,0,1
-0.00530586,0.0156497,-0.00662231,0,-1,0,0.000329599,0.303913,0.82407,1.51911,0.8128,36,0,1
-0.00716062,0.0140072,-0.00455516,0,-1,0,0.000364308,0.303883,0.878375,1.51906,0.8128,37,0,1
-0.00885608,0.0123941,-0.00295504,0,-1,0,0.000393674,0.303874,0.942936,1.51902,0.8128,38,0,1
-0.0103929,0.0105433,-0.00165479,0,-1,0,0.00041959,0.303877,1.0197,1.519,0.8128,39,0,1
