U:0,U:1,U:2,grad(T):0,grad(T):1,grad(T):2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,Point ID,Block Number
-0.0559995,0.0082967,0.00031289,-2.14165,-8.10898,0.00505164,0,-1,0,0.000528015,0.10033,0.942977,1.31741,1.2192,0,1
-0.0518285,0.00913525,-0.000335736,-2.44877,-8.72107,0.00430497,0,-1,0,0.000495477,0.100277,0.878425,1.31744,1.2192,1,1
-0.0489969,0.0112807,-0.000157353,-1.84033,-3.86977,-0.0136478,0,-1,0,0.000676364,0.136442,0.942961,1.35325,1.2192,2,1
-0.0450737,0.0127617,-0.000782261,-2.19306,-4.32929,-0.00334002,0,-1,0,0.000613992,0.136416,0.878403,1.35328,1.2192,3,1
-0.0336887,0.0182351,-0.00137469,-1.97225,-1.87992,-0.00267032,0,-1,0,0.000690463,0.180999,0.878387,1.39744,1.2192,4,1
-0.0386383,0.0153371,-0.000786287,-1.5871,-1.51461,-0.0228804,0,-1,0,0.000800539,0.181006,0.942948,1.3974,1.2192,5,1
-0.0224352,0.0220386,-0.00154043,-1.31543,-0.510086,-0.0108712,0,-1,0,0.0008654,0.235964,0.94294,1.45182,1.2192,6,1
-0.0123467,0.0301346,-0.00195476,-1.28748,-1.15767,0.0262513,0,-1,0,0.00072371,0.235969,0.878377,1.45186,1.2192,7,1
0.023424,0.052514,-0.0020441,0.353008,-1.97403,0.101862,0,-1,0,0.000765832,0.303732,0.878374,1.51892,1.2192,8,1
0.00608512,0.0366289,-0.00208065,-0.470393,-0.863445,0.0485351,0,-1,0,0.000878807,0.30372,0.942936,1.51888,1.2192,9,1
0.0471255,0.0591707,-0.00193892,0.88102,-1.95649,0.141849,0,-1,0,0.00090121,0.387243,0.942936,1.60152,1.2192,10,1
-0.00518102,0.0259207,-0.00180784,-0.645608,-0.147557,0.00730791,0,-1,0,0.00102632,0.303721,1.0197,1.51885,1.2192,11,1
0.0305092,0.0424864,-0.00212338,0.198651,-1.10854,0.0926227,0,-1,0,0.00101371,0.38724,1.0197,1.6015,1.2192,12,1
0.0889111,0.078862,-0.00128225,1.64773,-2.28346,0.2229,0,-1,0,0.000942958,0.4902,0.942941,1.70339,1.2192,13,1
0.0735661,0.0616,-0.00163943,1.04962,-1.8425,0.179984,0,-1,0,0.00100523,0.490194,1.0197,1.70336,1.2192,14,1
0.116057,0.0876683,-0.000678274,1.6437,-1.81413,0.267737,0,0,0,0.000981818,0.562907,0.942951,1.82894,1.2192,15,1
0.104832,0.0728618,-0.000964282,1.34361,-1.8403,0.227885,0,0,0,0.00100703,0.56292,1.0197,1.82892,1.2192,16,1
0.12157,0.0764324,-0.000451773,1.28525,-1.73447,0.247665,0,1,0,0.0010298,0.549462,1.01971,1.89044,1.2192,17,1
0.129489,0.0888993,-0.000251588,1.39074,-1.48199,0.286436,0,1,0,0.00103005,0.549431,0.942962,1.89045,1.2192,18,1
0.133617,0.0768323,2.36033e-05,1.11242,-1.54566,0.263517,0,1,0,0.00107341,0.493475,1.01972,1.9463,1.2192,19,1
0.138484,0.0872909,0.00014902,1.08204,-1.18362,0.300034,0,1,0,0.00109498,0.493445,0.942973,1.94632,1.2192,20,1
