U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.183878,0.0422143,0.00702231,0,-1,0,0.0046319,0.10033,0.942977,1.31741,1.2192,0,0,1
-0.200122,0.0606046,0.00798095,0,-1,0,0.00414205,0.100277,0.878425,1.31744,1.2192,1,0,1
-0.143589,0.066825,0.00858192,0,-1,0,0.00535237,0.136442,0.942961,1.35325,1.2192,2,0,1
-0.150473,0.0945158,0.00960585,0,-1,0,0.0046377,0.136416,0.878403,1.35328,1.2192,3,0,1
-0.0415277,0.160581,0.00960696,0,-1,0,0.00488734,0.180999,0.878387,1.39744,1.2192,4,0,1
-0.0689064,0.108241,0.00950023,0,-1,0,0.00577092,0.181006,0.942948,1.3974,1.2192,5,0,1
0.08297,0.190001,0.00760618,0,-1,0,0.00594776,0.235964,0.94294,1.45182,1.2192,6,0,1
0.168733,0.284367,0.00603608,0,-1,0,0.00513719,0.235969,0.878377,1.45186,1.2192,7,0,1
0.447694,0.44155,0.000197335,0,-1,0,0.00558559,0.303732,0.878374,1.51892,1.2192,8,0,1
0.326151,0.319022,0.00252649,0,-1,0,0.00614144,0.30372,0.942936,1.51888,1.2192,9,0,1
0.599301,0.458575,-0.0026837,0,-1,0,0.00647172,0.387243,0.942936,1.60152,1.2192,10,0,1
0.237547,0.220073,0.00465902,0,-1,0,0.00695578,0.303721,1.0197,1.51885,1.2192,11,0,1
0.495524,0.346162,-0.000485464,0,-1,0,0.00702165,0.38724,1.0197,1.6015,1.2192,12,0,1
0.819804,0.556016,-0.00562915,0,-1,0,0.00699396,0.4902,0.942941,1.70339,1.2192,13,0,1
0.740885,0.457123,-0.00390326,0,-1,0,0.00720796,0.490194,1.0197,1.70336,1.2192,14,0,1
0.938794,0.590495,-0.00571038,0,0,0,0.00763485,0.562907,0.942951,1.82894,1.2192,15,0,1
0.890434,0.513178,-0.00439649,0,0,0,0.00755815,0.56292,1.0197,1.82892,1.2192,16,0,1
0.958004,0.527951,-0.00295659,0,1,0,0.00802244,0.549462,1.01971,1.89044,1.2192,17,0,1
0.986918,0.58947,-0.00383029,0,1,0,0.00824913,0.549431,0.942962,1.89045,1.2192,18,0,1
0.999713,0.527091,-0.000800956,0,1,0,0.0085668,0.493475,1.01972,1.9463,1.2192,19,0,1
1.01345,0.576768,-0.00124931,0,1,0,0.00887665,0.493445,0.942973,1.94632,1.2192,20,0,1
1.02465,0.51585,0.00175318,0,1,0,0.00914083,0.442629,1.01972,1.99704,1.2192,21,0,1
1.02682,0.556491,0.00156359,0,1,0,0.00948233,0.442599,0.942983,1.99706,1.2192,22,0,1
1.03912,0.498364,0.00436948,0,1,0,0.00968445,0.396451,1.01973,2.04313,1.2192,23,0,1
1.0332,0.532085,0.00434329,0,1,0,0.010022,0.396421,0.942992,2.04314,1.2192,24,0,1
1.0475,0.47675,0.0068216,0,1,0,0.010129,0.354512,1.01973,2.08499,1.2192,25,0,1
1.03624,0.505517,0.00688606,0,1,0,0.0104472,0.354482,0.943,2.08499,1.2192,26,0,1
1.05271,0.452446,0.00896784,0,1,0,0.0103729,0.316424,1.01974,2.123,1.2192,27,0,1
1.03806,0.477748,0.00899692,0,1,0,0.0106881,0.316392,0.943007,2.12301,1.2192,28,0,1
1.03975,0.449199,0.010641,0,1,0,0.0106268,0.281798,0.943014,2.15754,1.2192,29,0,1
1.05659,0.426306,0.0107623,0,1,0,0.0102506,0.281832,1.01974,2.15753,1.2192,30,0,1
1.04183,0.419987,0.011866,0,1,0,0.0100733,0.25038,0.943019,2.1889,1.2192,31,0,1
1.06026,0.398801,0.0122213,0,1,0,0.00952257,0.250417,1.01974,2.1889,1.2192,32,0,1
0.0336914,1.08168,0.0375914,-1,2.21885e-16,-2.21867e-16,0.000330083,0.00932507,0.00718669,1.39882,1.2192,33,0,1
0.034383,1.0744,0.0372159,-1,2.21885e-16,-2.21867e-16,0.000339688,0.009083,0.00718479,1.35478,1.2192,34,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,1.09715e-05,2.22045e-16,4.12838e-17,1.40516,1.2192,35,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,1.11788e-05,2.22045e-16,3.12459e-17,1.35992,1.2192,36,0,1
0.0765296,1.14084,0.0402897,-1,2.21885e-16,-2.21867e-16,0.000973401,0.0208967,0.0181936,1.39882,1.2192,37,0,1
0.0787996,1.13638,0.0390791,-1,2.21885e-16,-2.21867e-16,0.000999579,0.0205179,0.0181876,1.35478,1.2192,38,0,1
0.141713,1.15479,0.0376185,-1,2.21885e-16,-2.21867e-16,0.00199145,0.035086,0.0328673,1.39883,1.2192,39,0,1
0.14555,1.15258,0.0359908,-1,2.21885e-16,-2.21867e-16,0.0020308,0.0348607,0.0328571,1.35479,1.2192,40,0,1
0.223185,1.15712,0.0319011,-1,2.21885e-16,-2.21867e-16,0.003185,0.0546785,0.0524266,1.39884,1.2192,41,0,1
0.229177,1.15688,0.0297782,-1,2.21885e-16,-2.21867e-16,0.00323096,0.0545292,0.0524131,1.3548,1.2192,42,0,1
0.329807,1.15199,0.0223586,-1,2.21885e-16,-2.21867e-16,0.00445591,0.081085,0.0784992,1.39886,1.2192,43,0,1
0.33895,1.15407,0.0197184,-1,2.21885e-16,-2.21867e-16,0.00450279,0.0809783,0.0784832,1.35483,1.2192,44,0,1
0.459069,1.13721,0.00870682,-1,2.21885e-16,-2.21867e-16,0.00574923,0.116438,0.113257,1.39889,1.2192,45,0,1
0.471317,1.14102,0.0057658,-1,2.21885e-16,-2.21867e-16,0.00579167,0.116357,0.113239,1.35486,1.2192,46,0,1
0.60378,1.10728,-0.00610652,-1,2.21885e-16,-2.21867e-16,0.00697537,0.163659,0.159597,1.39893,1.2192,47,0,1
0.618931,1.11204,-0.00910662,-1,2.21885e-16,-2.21867e-16,0.00700369,0.163592,0.159575,1.35491,1.2192,48,0,1
0.752886,1.06546,-0.0186465,-1,2.21885e-16,-2.21867e-16,0.00790249,0.226673,0.221382,1.39899,1.2192,49,0,1
0.769472,1.0716,-0.0215092,-1,2.21885e-16,-2.21867e-16,0.00788938,0.22661,0.221352,1.35497,1.2192,50,0,1
0.86981,1.03083,-0.0258765,-0.25,-0.25,-1.10933e-16,0.00823791,0.294697,0.303761,1.39906,1.2192,51,0,1
0.882959,1.03998,-0.0281555,0,1.10943e-16,-1.10933e-16,0.00816623,0.282455,0.303718,1.35507,1.2192,52,0,1
0.927696,1.02061,-0.0273417,0.25,-0.75,0,0.00822074,0.29895,0.386103,1.39916,1.2192,53,0,1
0.930575,1.03433,-0.0287275,0.75,-0.25,0,0.00814361,0.272253,0.386051,1.35518,1.2192,54,0,1
0.929264,1.04984,-0.0263405,0.25,-0.75,0,0.00824052,0.221813,0.447773,1.35527,1.2192,55,0,1
0.940741,1.03012,-0.0259353,0,-1,0,0.00826728,0.252676,0.447834,1.39924,1.2192,56,0,1
0.907781,1.07646,-0.0230367,0,-1,0,0.00831028,0.187819,0.494037,1.35533,1.2192,57,0,1
0.933711,1.04894,-0.0236411,0,-1,0,0.00833057,0.22268,0.494106,1.39929,1.2192,58,0,1
0.882013,1.10689,-0.0197238,0,-1,0,0.00813611,0.165931,0.528709,1.35537,1.2192,59,0,1
0.920546,1.07072,-0.0212504,0,-1,0,0.00825415,0.204453,0.528789,1.39932,1.2192,60,0,1
0.85811,1.13495,-0.0165711,0,-1,0,0.00769589,0.152829,0.554691,1.35538,1.2192,61,0,1
0.906809,1.09094,-0.0189797,0,-1,0,0.00799187,0.193919,0.554786,1.39931,1.2192,62,0,1
0.83743,1.15712,-0.013791,0,-1,0,0.00708829,0.145404,0.574166,1.35535,1.2192,63,0,1
0.894139,1.10717,-0.0169583,0,-1,0,0.00759646,0.188097,0.574278,1.39928,1.2192,64,0,1
0.819834,1.17192,-0.0115163,0,-1,0,0.00641635,0.14139,0.588777,1.35527,1.2192,65,0,1
0.882896,1.11855,-0.0152087,0,-1,0,0.00714095,0.184996,0.588905,1.39919,1.2192,66,0,1
0.804896,1.17838,-0.00966895,0,-1,0,0.00575747,0.13929,0.599764,1.35512,1.2192,67,0,1
0.873087,1.12495,-0.0137027,0,-1,0,0.00667881,0.183383,0.599901,1.39905,1.2192,68,0,1
0.788154,1.17358,-0.0077042,0,-1,0,0.00503406,0.138151,0.60806,1.35489,1.2192,69,0,1
0.862022,1.12638,-0.0120536,0,-1,0,0.00614304,0.18251,0.60819,1.39887,1.2192,70,0,1
0.758898,1.13965,-0.00514045,0,-1,0,0.00422761,0.137587,0.621727,1.35462,1.2192,71,0,1
0.843955,1.11549,-0.00987695,0,-1,0,0.00546666,0.182072,0.621834,1.39864,1.2192,72,0,1
0.700703,1.05399,-0.00205163,0,-1,0,0.00352859,0.137306,0.638002,1.35433,1.2192,73,0,1
0.810486,1.07762,-0.00721025,0,-1,0,0.00475864,0.181842,0.638077,1.3984,1.2192,74,0,1
0.599112,0.910657,0.00130329,0,-1,0,0.0030529,0.137048,0.657345,1.35405,1.2192,75,0,1
0.750938,0.999918,-0.0041928,0,-1,0,0.00416311,0.181624,0.657387,1.39818,1.2192,76,0,1
0.44846,0.721651,0.00467671,0,-1,0,0.00278863,0.136834,0.680313,1.35383,1.2192,77,0,1
0.655373,0.877437,-0.00102827,0,-1,0,0.00375361,0.181435,0.680328,1.39798,1.2192,78,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,1.07025e-05,2.22045e-16,5.36583e-17,1.46093,1.2192,79,0,1
0.032949,1.08616,0.0381305,-1,2.21885e-16,-2.21867e-16,0.000318716,0.00967667,0.00719175,1.45311,1.2192,80,0,1
0.0739161,1.14188,0.0417417,-1,2.21885e-16,-2.21867e-16,0.000941717,0.0214518,0.0182062,1.45312,1.2192,81,0,1
0.137065,1.15306,0.0395457,-1,2.21885e-16,-2.21867e-16,0.00194213,0.0354242,0.0328857,1.45312,1.2192,82,0,1
0.216026,1.15356,0.0343812,-1,2.21885e-16,-2.21867e-16,0.00312535,0.0549031,0.0524481,1.45313,1.2192,83,0,1
0.318784,1.1462,0.0255126,-1,2.21885e-16,-2.21867e-16,0.00439319,0.0812441,0.0785222,1.45315,1.2192,84,0,1
0.443926,1.12941,0.012334,-1,2.21885e-16,-2.21867e-16,0.00569058,0.116557,0.113282,1.45317,1.2192,85,0,1
0.584848,1.09823,-0.00233366,-1,2.21885e-16,-2.21867e-16,0.0069329,0.163755,0.159625,1.45321,1.2192,86,0,1
0.731573,1.05461,-0.0149604,-1,2.21885e-16,-2.21867e-16,0.00790985,0.226758,0.221418,1.45325,1.2192,87,0,1
0.851129,1.01605,-0.0227577,-0.75,-0.25,-1.664e-16,0.00833312,0.303077,0.303811,1.45332,1.2192,88,0,1
0.918216,0.999712,-0.0251112,-0.25,-0.75,-5.54667e-17,0.00835318,0.32709,0.386167,1.4534,1.2192,89,0,1
0.94425,1.00187,-0.0248264,0,-1,0,0.00835957,0.294909,0.447905,1.45346,1.2192,90,0,1
0.950054,1.01239,-0.0236302,0,-1,0,0.00839991,0.269523,0.494186,1.4535,1.2192,91,0,1
0.947811,1.02581,-0.0220271,0,-1,0,0.00837744,0.254606,0.528878,1.45352,1.2192,92,0,1
