U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0341955,0.112724,-0.0724223,0.000583842,0.274635,0.638003,1.48962,0.8128,0,0,1
0.0392509,0.145088,-0.103821,0.000610626,0.275188,0.621724,1.49019,0.8128,1,0,1
0.0468711,0.132586,-0.0816504,0.000751864,0.36376,0.638077,1.57779,0.8128,2,0,1
0.0478867,0.153862,-0.100754,0.000801144,0.364208,0.621832,1.57825,0.8128,3,0,1
0.0255026,0.0764002,-0.0329575,0.000595363,0.274125,0.657348,1.48909,0.8128,4,0,1
0.0433301,0.104789,-0.0539633,0.000744247,0.363334,0.65739,1.57736,0.8128,5,0,1
0.0164184,0.0438388,0.00874233,0.000622255,0.273697,0.680317,1.48865,0.8128,6,0,1
0.038021,0.0748022,-0.0198244,0.000763096,0.362961,0.680332,1.57697,0.8128,7,0,1
0.00918727,0.0210058,0.0416893,0.00064425,0.27336,0.707583,1.48831,0.8128,8,0,1
0.0323191,0.0481379,0.0148692,0.000787507,0.362652,0.707579,1.57665,0.8128,9,0,1
0.00235763,0.00798837,0.0560106,0.000666049,0.273107,0.739957,1.48804,0.8128,10,0,1
0.0260703,0.0285235,0.0407925,0.000803876,0.362408,0.739942,1.5764,0.8128,11,0,1
-0.00593033,0.00136833,0.0532305,0.000701291,0.272927,0.77841,1.48785,0.8128,12,0,1
0.017371,0.0158157,0.0517287,0.000820469,0.362225,0.778391,1.57621,0.8128,13,0,1
-0.0150005,-0.000952788,0.0418588,0.000745874,0.272805,0.8241,1.48771,0.8128,14,0,1
0.00602119,0.00849597,0.0491545,0.000850391,0.362095,0.824081,1.57607,0.8128,15,0,1
-0.0231749,-0.000542232,0.0293696,0.000796859,0.272731,0.878405,1.48762,0.8128,16,0,1
-0.00569615,0.00523997,0.0394713,0.000898274,0.362009,0.878388,1.57596,0.8128,17,0,1
-0.0298151,0.00102163,0.0191149,0.000853446,0.272698,0.942961,1.48756,0.8128,18,0,1
-0.0156001,0.00457287,0.0284088,0.000967985,0.361961,0.942949,1.57589,0.8128,19,0,1
-0.035229,0.00269983,0.0112984,0.000904344,0.272688,1.01972,1.48752,0.8128,20,0,1
-0.0229045,0.00504675,0.018962,0.00105263,0.361939,1.01971,1.57585,0.8128,21,0,1
-0.0399603,0.00374015,0.00505287,0.000938787,0.272641,1.11098,1.4875,0.8128,22,0,1
-0.0283353,0.00534132,0.0115626,0.00113389,0.361897,1.11098,1.57583,0.8128,23,0,1
0.0525014,0.0791798,-0.0125446,0.000942343,0.472644,0.70759,1.68547,0.8128,24,0,1
0.0548496,0.103479,-0.0404025,0.000925811,0.47292,0.68036,1.68576,0.8128,25,0,1
0.0489343,0.0567826,0.0145429,0.000960595,0.472418,0.739942,1.68524,0.8128,26,0,1
0.0429502,0.0387493,0.0343469,0.000972193,0.472242,0.778384,1.68505,0.8128,27,0,1
0.0333272,0.0255389,0.0433244,0.000985468,0.47211,0.824071,1.68491,0.8128,28,0,1
0.0207228,0.0166916,0.0423753,0.00101509,0.472019,0.878378,1.68481,0.8128,29,0,1
0.00779768,0.0115559,0.0353824,0.00107414,0.471964,0.94294,1.68473,0.8128,30,0,1
-0.00286237,0.00899908,0.026679,0.00117,0.471934,1.0197,1.68469,0.8128,31,0,1
-0.0105782,0.00748569,0.018733,0.00129396,0.471895,1.11097,1.68466,0.8128,32,0,1
0.0681005,0.0856125,-0.0110949,0.00113245,0.607964,0.739953,1.81933,0.8128,33,0,1
0.0681031,0.10505,-0.031996,0.00112329,0.608168,0.707613,1.81954,0.8128,34,0,1
0.0660725,0.0663507,0.00886332,0.00114367,0.607801,0.778387,1.81916,0.8128,35,0,1
0.060804,0.0491429,0.0239064,0.00115225,0.607675,0.82407,1.81902,0.8128,36,0,1
0.0516743,0.0349734,0.0318967,0.0011661,0.607584,0.878375,1.81892,0.8128,37,0,1
0.0396586,0.0241807,0.0330959,0.00120149,0.607526,0.942936,1.81885,0.8128,38,0,1
0.027144,0.0166121,0.0295782,0.00127793,0.607493,1.0197,1.8188,0.8128,39,0,1
0.000630716,0.214388,0.139338,0.000210687,0.0103946,0.0071872,1.49035,0.8128,40,0,1
0,0,0,0,2.22045e-16,1.21413e-16,1.50064,0.8128,41,0,1
0.000677106,0.209829,0.132912,0.000203934,0.0111792,0.007189,1.57844,0.8128,42,0,1
0,0,0,0,2.22045e-16,1.31451e-16,1.59112,0.8128,43,0,1
0.000841891,0.233057,0.152066,0.000504371,0.0226392,0.0181888,1.49036,0.8128,44,0,1
0.00094055,0.22943,0.145387,0.000491624,0.0239224,0.0181946,1.57844,0.8128,45,0,1
0.000282724,0.237951,0.155961,0.000867376,0.0361251,0.0328571,1.49038,0.8128,46,0,1
0.000662766,0.235207,0.149263,0.000846027,0.0369484,0.032867,1.57846,0.8128,47,0,1
-0.000386638,0.234452,0.154143,0.00129305,0.0553315,0.0524118,1.49041,0.8128,48,0,1
0.0003132,0.232389,0.147694,0.00126321,0.0558755,0.0524252,1.57848,0.8128,49,0,1
-0.0019603,0.224845,0.14817,0.00172606,0.081511,0.0784804,1.49045,0.8128,50,0,1
-0.000828211,0.223235,0.142057,0.00169419,0.0818859,0.0784966,1.57852,0.8128,51,0,1
-0.0034605,0.209784,0.137993,0.00207445,0.11672,0.113234,1.49052,0.8128,52,0,1
-0.00184782,0.208413,0.132356,0.00205038,0.116988,0.113253,1.57858,0.8128,53,0,1
